nome,largura,altura,tamanho_bytes,percentual_branco,sha256,status,observacoes
questao-42.png,1096,3046,450944,66.24,625ac75be618a6917a7773cabf496161d0de376037a9acbce13b047c65d7257f,OK,
questao-43.png,1094,3046,389805,71.64,54b48df77979639d1896576607c4f976715c7c31085d5635c0a00908e385fea8,OK,
questao-44.png,1096,3046,326115,75.96,843daff88a2e329ae0721138b5f3ac4e7d61fa5b4003e8cddd1a90b7367e1bcd,OK,
questao-45.png,1094,3046,340175,76.16,2a0631b5fb133a6758274988aca09b540579619b06f5fe32f447d53ce9d6bf3b,OK,
questao-46.png,2222,1186,182866,83.34,b92624470835f396f2f9a6a6d480bec146f4973a4f456308f533cc6eb18d1d66,OK,
questao-47.png,2224,1731,872729,46.10,1ec866c44dfe3681453c474ab7d0eec0671992b54a6200f4c50163e4e79e8ed6,OK,
questao-48.png,1093,999,196877,57.40,7ca35e0428dc4d00139c38c4c77d4bc15c09b2f1ead8fbc9f0f9ac5eda536429,OK,
questao-49.png,1096,2034,557101,26.40,d39bc3ef07ce6d5d45dad7dde47c8669596a03d199875ad76bc45d97a299b610,OK,
questao-50.png,1093,1021,180980,60.89,562edb39c6e675b48d49f5004ae0b098d4fe9044c1e2b6ec8cca7922aeff6347,OK,
questao-51.png,1092,912,167114,59.33,d537c3ff910483966ec28e9ff505cc9d899644bfdf05e56638649a4919da2728,OK,
questao-52.png,1094,1098,178738,63.02,16e4177700feaab7cd0bffa9d156eb56aca4697bd144600330a6ef721d66b215,OK,
questao-53.png,1091,1693,353933,54.33,ddcc644f1c92ea68ce124dc208981227d2a7aa6efc47047b2da65f9b6bd8769c,OK,
questao-54.png,1096,1353,269583,54.47,50729e6e1e1385efbc4c8049eff5540a0cb2a866de483d4d303ae1d7a802a4c3,OK,
questao-55.png,1093,904,151509,64.37,0f702855238271057badc10b2cdc32ff3a3fcf1fba81ecfac62ba1f1bedf5c21,OK,
questao-56.png,1094,2134,320050,66.96,ad4b877af8a4b857174c2b81b2af0591b69d4a46b3555f06cbf10611ac3cf155,OK,
questao-57.png,1092,1038,191623,60.51,4650b5b824add5abf034e0b4d6c14c4906098659b9b85f99f505f48cc2a0a328,OK,
questao-58.png,1096,2008,386013,58.36,9b3a886e865b3dbd0492a5ef1a13e5e14564bbad7c4fca77f3612753f4fa3f97,OK,
questao-59.png,1094,1435,256193,61.10,7f69da0f16fc49024a0e27075cb834464284a04c0711f7d9786c548cfe9a5ef5,OK,
questao-60.png,1109,1668,255103,65.83,634e4f3023048f474249fa41cf7253238ae1b2815bd2b5b21f56c424964504b4,OK,
questao-61.png,1093,900,189452,54.50,f6786b62fd5ebfc323ce3aec3ee8251bb811d38cba1551c5d3219b59aac2a279,OK,
questao-62.png,1092,1063,211138,59.16,45d34ddeac4561eb9c951c3e52ab32366f5209bbb6ebb8210e9a8285b37a2780,OK,
questao-63.png,1109,1826,384509,51.80,a44ab97be0044dd773201d02a09e1f18f351f3670315cc46b69b94de7a9cfb6e,OK,
questao-64.png,1094,1327,259491,58.54,f512a50bb3bebe2590d884ebb9d39d054b0e6e6dc1bb082c6e8750e26c01adb9,OK,
questao-65.png,1109,1106,189072,61.26,04811bc5b2f853f01bfbc0e334ed6dba84e08efaa7cd6c59fb45669b053824cf,OK,
questao-66.png,1093,1351,269249,56.78,5092253f6fb50048488d250d944e9b9750ff840df3ceba80b33898309a6a798b,OK,
questao-67.png,1093,1157,221123,58.60,06397769905fd34e4fd5e5324e7ae4517e105767f093f3afff99446faccd4a36,OK,
questao-68.png,1109,1525,266642,60.71,e520ce7ab649d87b272cfe2c1189b7e1798c8edf220b1418942c55a672dba454,OK,
questao-69.png,1092,962,163202,62.86,d8e31e7004b21b334e56cd55ada654342239fbdbd6034e6bddf4680489962b6c,OK,
questao-70.png,1109,1227,194978,63.46,1843841771b543b026fa18ffec6d277c2b211501c300984597f285fbdea370ae,OK,
questao-71.png,1092,1120,235545,53.91,df60c7215f8537be1eda7777e522a89a312d456c90c30f8ad248ab52fb2e2fe9,OK,
questao-72.png,1093,994,183412,60.75,73852c86b0c20f4cef3ade4bbfc84cb9217d8686d4263d59b2ea3c10c9010880,OK,
questao-73.png,1109,1498,258378,61.26,bcffc883ead116987f5f59554c4355c887fa0430d7a271ef40c85d2035258ac2,OK,
questao-74.png,1092,1070,165862,66.18,19abf6a310f02afe48eec19b155ac7175420781bedbd574a1d8044b35d42a688,OK,
questao-75.png,1094,1460,248271,61.64,7c8d6c190311ea876163103311afb402753ae3209f1749581a894e11652eb055,OK,
questao-76.png,1093,1200,253922,51.79,cc329871a65f531baef358bbfd449a58a67a07e8a89038ae4a905c239df07130,OK,
questao-77.png,1092,889,188312,54.50,586aa549edbb28f07a68b5fb7b191bc0f1f008dd612b3884250f23f93a3edf7a,OK,
questao-78.png,1096,957,184001,55.61,64ef3fcbc0f38b42bb2bdca3fe5d2e633eb9d20354879dbb1f5ceab0b720384c,OK,
questao-79.png,1093,1086,261874,46.85,431b10f0ba5d5cf6a7d9e09b0c87d48884e8ba561ec789ec091baad4339fd128,OK,
questao-80.png,1092,985,194280,57.37,b634d7dc9a4998852084f84cf34d05208cea0278e1140fe63c1a83fe39a2f18d,OK,
questao-81.png,1109,1040,132646,70.40,16b7e578461924dc0774e58470bb8cf1e7830dede362fdf8a1d8494099b60dff,OK,
questao-82.png,1092,1402,291982,55.74,05510aa4886005ed1241c5dfa6ea8573355ec843362b56c65326c7663cac3328,OK,
questao-83.png,1092,940,197842,53.91,f96eedf2059ec5c5b6f8f53f639fa02d6c35f15a0b4b908c3cfc41b41496ce1e,OK,
questao-84.png,1109,1232,203131,61.58,fbbddd5e34ac047133af2bd572704700b87925157ab75f98dc1705fdde78d386,OK,
questao-85.png,1094,1209,230739,58.81,e41c888f4b3992002608f020d7aa23d807723a001c5acaed040ff941a6f9cce5,OK,
questao-86.png,1109,1427,257290,59.82,b80598717649877251385805d0338e24c8da03f5837bee0de2f72870c2b88502,OK,
questao-87.png,1092,1063,202512,58.97,0a8ee6ab19a186b1583700f7e3ad8098f81fd9e39fceceb94b0ecf114b5d3945,OK,
questao-88.png,1093,1192,203534,63.18,58dfd3bc47e3adde9a2cc2176459eb2a66cafa89ddc5a64263d5308225bf7e74,OK,
questao-89.png,1109,1726,306687,60.84,17108d6c84625e4ee96a815b40b5d78eb8c4be9875e6f6a5332031630fe9900b,OK,
questao-90.png,1094,2149,359083,63.62,1f2f24f11917b61248361acbda8fb6eb2d24be70c24027428cbe2667963e5031,OK,
